QPSK_sim:,199,15917,1342,2542,20000
8PSK_sim:,3,952,17243,1802,20000
16QAM_sim:,35,4694,2457,12814,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9589,0.0411,0.0,0.0,1
QPSK_sim:,0.00995,0.79585,0.0671,0.1271,1
8PSK_sim:,0.00015,0.0476,0.86215,0.0901,1
16QAM_sim:,0.00175,0.2347,0.12285,0.6407,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19361,639,0,0,20000
QPSK_sim:,132,16337,1015,2516,20000
8PSK_sim:,2,578,18078,1342,20000
16QAM_sim:,20,4213,2247,13520,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.96805,0.03195,0.0,0.0,1
QPSK_sim:,0.0066,0.81685,0.05075,0.1258,1
8PSK_sim:,0.0001,0.0289,0.9039,0.0671,1
16QAM_sim:,0.001,0.21065,0.11235,0.676,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19521,479,0,0,20000
QPSK_sim:,88,16769,855,2288,20000
8PSK_sim:,0,408,18602,990,20000
16QAM_sim:,38,4312,2156,13494,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.97605,0.02395,0.0,0.0,1
QPSK_sim:,0.0044,0.83845,0.04275,0.1144,1
8PSK_sim:,0.0,0.0204,0.9301,0.0495,1
16QAM_sim:,0.0019,0.2156,0.1078,0.6747,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19614,386,0,0,20000
QPSK_sim:,40,17199,651,2110,20000
8PSK_sim:,0,225,19030,745,20000
16QAM_sim:,12,4082,2017,13889,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9807,0.0193,0.0,0.0,1
QPSK_sim:,0.002,0.85995,0.03255,0.1055,1
8PSK_sim:,0.0,0.01125,0.9515,0.03725,1
16QAM_sim:,0.0006,0.2041,0.10085,0.69445,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19680,320,0,0,20000
QPSK_sim:,27,17534,580,1859,20000
8PSK_sim:,0,119,19382,499,20000
16QAM_sim:,7,4053,1784,14156,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.984,0.016,0.0,0.0,1
QPSK_sim:,0.00135,0.8767,0.029,0.09295,1
8PSK_sim:,0.0,0.00595,0.9691,0.02495,1
16QAM_sim:,0.00035,0.20265,0.0892,0.7078,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19761,239,0,0,20000
QPSK_sim:,13,17842,508,1637,20000
8PSK_sim:,1,60,19605,334,20000
16QAM_sim:,17,3703,1535,14745,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.98805,0.01195,0.0,0.0,1
QPSK_sim:,0.00065,0.8921,0.0254,0.08185,1
8PSK_sim:,5e-05,0.003,0.98025,0.0167,1
16QAM_sim:,0.00085,0.18515,0.07675,0.73725,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19826,174,0,0,20000
QPSK_sim:,6,18059,470,1465,20000
8PSK_sim:,0,44,19736,220,20000
16QAM_sim:,1,3305,1413,15281,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9913,0.0087,0.0,0.0,1
QPSK_sim:,0.0003,0.90295,0.0235,0.07325,1
8PSK_sim:,0.0,0.0022,0.9868,0.011,1
16QAM_sim:,5e-05,0.16525,0.07065,0.76405,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19910,90,0,0,20000
QPSK_sim:,4,18360,348,1288,20000
8PSK_sim:,0,21,19853,126,20000
16QAM_sim:,3,3246,1642,15109,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9955,0.0045,0.0,0.0,1
QPSK_sim:,0.0002,0.918,0.0174,0.0644,1
8PSK_sim:,0.0,0.00105,0.99265,0.0063,1
16QAM_sim:,0.00015,0.1623,0.0821,0.75545,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19955,45,0,0,20000
QPSK_sim:,1,18580,282,1137,20000
8PSK_sim:,0,8,19915,77,20000
16QAM_sim:,0,3778,1504,14718,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.99775,0.00225,0.0,0.0,1
QPSK_sim:,5e-05,0.929,0.0141,0.05685,1
8PSK_sim:,0.0,0.0004,0.99575,0.00385,1
16QAM_sim:,0.0,0.1889,0.0752,0.7359,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19966,34,0,0,20000
QPSK_sim:,0,18894,208,898,20000
8PSK_sim:,0,6,19968,26,20000
16QAM_sim:,0,3700,1404,14896,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9983,0.0017,0.0,0.0,1
QPSK_sim:,0.0,0.9447,0.0104,0.0449,1
8PSK_sim:,0.0,0.0003,0.9984,0.0013,1
16QAM_sim:,0.0,0.185,0.0702,0.7448,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19992,8,0,0,20000
QPSK_sim:,0,19060,203,737,20000
8PSK_sim:,0,4,19971,25,20000
16QAM_sim:,1,3412,1092,15495,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9996,0.0004,0.0,0.0,1
QPSK_sim:,0.0,0.953,0.01015,0.03685,1
8PSK_sim:,0.0,0.0002,0.99855,0.00125,1
16QAM_sim:,5e-05,0.1706,0.0546,0.77475,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19988,12,0,0,20000
QPSK_sim:,0,19224,157,619,20000
8PSK_sim:,0,0,19991,9,20000
16QAM_sim:,0,3220,1191,15589,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9994,0.0006,0.0,0.0,1
QPSK_sim:,0.0,0.9612,0.00785,0.03095,1
8PSK_sim:,0.0,0.0,0.99955,0.00045,1
16QAM_sim:,0.0,0.161,0.05955,0.77945,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19993,7,0,0,20000
QPSK_sim:,0,19239,289,472,20000
8PSK_sim:,0,1,19994,5,20000
16QAM_sim:,0,3272,1077,15651,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.99965,0.00035,0.0,0.0,1
QPSK_sim:,0.0,0.96195,0.01445,0.0236,1
8PSK_sim:,0.0,5e-05,0.9997,0.00025,1
16QAM_sim:,0.0,0.1636,0.05385,0.78255,1

